Title,Tags,Body,ViewCount,CreationDate,CommentCount,AnswerCount,PostType,AnswerTitle,AnswerBody
"Is it possible to extend an individual object in Smalltalk","<reflection><smalltalk><pharo><squeak>","<p>I'm doing research in Smalltalk reflection, and I was wondering if it was possible to extend an individual object like that would be possible for instance in Ruby. With this I mean a selector that only particular objects respond to.</p>

<p>Here is some Ruby code that states what I mean.
For clarification: in Ruby this open a virtual class for this object, and extends it with a new definition. The vital part here is that nothing changes to the class definition!</p>

<pre><code>o = Object.new
o.instance_eval {def foo;puts ""foo"";end}
o.foo #=&gt; ""foo""

#however this will fail:
m = Object.new
m.foo #=&gt; NoMethod error
</code></pre>

<p>More specifically my question is whether this is possible in standard Squeak/Pharo or other smalltalk implementations, without adding substantial structures or code to allow this. So with other words with regular reflective features that exist in Smalltalk.</p>

<p>As an example, it is possible to add methods, remove methods, compile new code into a class, change instance variables and just about anything, but I haven't found a way to extend a single object.</p>

<pre><code>Test addInstVarNamed: #var.
Test compile: 'var ^var'.
t:= Test new.
Test instVarNames.
t instVarNamed: #var put: 666. 
t var. #=&gt; 666
</code></pre>

<p><strong>If the answer is no, then explain why. I'm not looking for solving this problem but rather understanding why it isn't in smalltalk.</strong></p>
","1876","2013-01-07 12:55:48","0","6","Question","","<p>In Smalltalk there is no built in way of doing instance-specific behavior in that way. Smalltalk adheres to the principle that each object belongs to a class and its behavior and state shape depends on the class. That is why you can easily change the class (add inst vars, compile new methods, etc), but that means changing the behavior to all of its instances. 
There are, however, different approaches (according to the Smalltalk flavor) for achieving instance-specific behavior, such as Lightweight Classes, where the idea is to create a special (lightweight) class for a particular instance and replace the original class with the custom one. As a result you have a special class for each ""special"" instance. AFAIK in Digitalk St the dispatching mechanism is a bit more flexible and allows to easily implement instance-based behavior (see 4th link). I'll leave here some links that you may find useful:</p>

<ul>
<li><a href=""http://www.laputan.org/ref89/ref89.html"" rel=""nofollow"">Reflective Facilities in Smalltalk-80</a></li>
<li><a href=""http://www.laputan.org/reflection/warfare.html"" rel=""nofollow"">Class Warfare: Classes vs. Prototypes</a></li>
<li><a href=""http://www.cincomsmalltalk.com/blog/blogView?showComments=true&amp;printTitle=Smalltalk_Daily_6/4/09%3a_Instance_Specific_Behavior&amp;entry=3421558972"" rel=""nofollow"">Smalltalk Daily 6/4/09: Instance Specific Behavior</a></li>
<li><a href=""http://www.esug.org/wiki/pier/Conferences/2009/Current%20List%20of%20Talks/Instance-Specific%20Behavior%20for%20the%20Working%20Smalltalker"" rel=""nofollow"">Instance-Specific Behavior for the Working Smalltalker</a></li>
<li><a href=""http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.67.3949&amp;rep=rep1&amp;type=pdf"" rel=""nofollow"">Evaluating message passing control techniques in Smalltalk</a></li>
</ul>

<p>HTH</p>

<p><strong>Edit:</strong> <em>the link posted by Hernan (""Debugging Objects"" by Hinkle, Jones &amp; Johnson) is the one to which I was referring and that couldn't find.</em></p>
"
"Smalltalk Variadic functions","<smalltalk><if-statement><variadic-functions><pharo><control-structure>","<p>Does Smalltalk(especially Squeak/Pharo) have some form of variadic functions?</p>

<p>I was just reading about the power of designing your own control statments in smalltalk and while I'm a big fan of ifTrue: ifFalse: I was having a hard time coming up with a good way to implement arbitrary if,if else, if else,...,else statements thinking how useful  Variadic functions those would be for implementing case statements. Something like</p>

<p>false class</p>

<pre><code>ifTrue: aBlock (... elseIf: aBoolean then: aSecondBlock ...) else: aLastBlock

vArgList pairsDo: [:x :y| x ifTrue:[^ (y value)] ].
^ aLastBlock
</code></pre>
","1855","2010-10-06 12:11:15","0","3","Question","","<p>You can use the <code>#caseOf:otherwise:</code> message.
Look for some sender of this message for some example.</p>

<p>But anyway if you want to use case statement you are not following the smalltalk-way-of-doing-things. Tell us what you want to achieve with your case statement so that we can show you some cleaner way to do it. </p>
"
"How to close all inspector windows with a shortcut","<smalltalk><pharo>","<p>Is there a shortcut to close all inspector windows ? and if not how I close the window of a selected inspector ?</p>

<p>Basically I accidentally opened over 1000 inspector windows and i want to close them all now because they have occupied the entire GUI and I cant do anything other than closing them on by one. I cant open the world menu or open a new window because they take not only the entire window but also they are always on top. </p>
","1844","2014-07-20 13:31:32","0","2","Question","","<p>Bring up the halos [1] on the TaskBarMorph [2] and click the top left halo to delete it from the World.</p>

<ol>
<li>If two-way halo cycling is enabled in the settings, Alt-click on Mac. Otherwise, Alt-Shift-Click to cycle to the TaskBarMorph through the morphs in front of it.</li>
<li>In your case, your problem is that it's covering the entire screen, so you should be able to click anywhere to bring up the halos.</li>
</ol>

<p>Then, to actually close the windows, use something like:</p>

<pre><code>World submorphs do: [ :e |  
    [ (e model model model isKindOf: InspectorNavigator) ifTrue: [ e delete ] ] 
        on: Error 
        do: [ ] ]
</code></pre>
"
"Double dispatch in Pharo","<smalltalk><pharo><double-dispatch>","<p>Could someone please explain the process of double dispatch in Pharo 4.0 with Smalltalk? I am new to Smalltalk and am having difficulty grasping the concept, since it is implemented very differently in Java as compared to Smalltalk. It will be very helpful if some one could explain it with an example. </p>
","1808","2015-06-15 17:56:27","0","1","Question","","<p>Essentially the idea is that you have method:</p>

<ul>
<li><code>#addInteger:</code> which knows how to add integers,</li>
<li><code>#addFloat:</code> which knows how to add floats,</li>
<li>and so on…</li>
</ul>

<p>Now in <code>Integer</code> class you define <code>+</code> as:</p>

<pre><code>+ otherObject

   otherObject addInteger: self
</code></pre>

<p>in <code>Float</code> you define it like:</p>

<pre><code>+ otherObject

   otherObject addFloat: self
</code></pre>

<p>This way you only need to send <code>+</code> to an object and then it will ask the receiver to add it with the required method.</p>

<p>Another strategy is to use <code>#adaptTo:andSend:</code> methods. For example <code>+</code> in <code>Point</code> class is defined as:</p>

<pre><code>+ arg 

   arg isPoint ifTrue: [^ (x + arg x) @ (y + arg y)].
   ^ arg adaptToPoint: self andSend: #+
</code></pre>

<p>Which first checks if the argument is a Point, and if it's not, asks the argument to adapt to Point and send some symbol (operation), this saves some duplication of the methods that have to perform a slightly different operation.</p>

<p><code>Collection</code> implements the method like this:</p>

<pre><code>adaptToPoint: rcvr andSend: selector

   ^ self collect: [:element | rcvr perform: selector with: element]
</code></pre>

<p>and <code>Number</code> implements it like that:</p>

<pre><code>adaptToPoint: rcvr andSend: selector

   ^ rcvr perform: selector with: self@self
</code></pre>

<p>Note, that to avoid explicit type checking, we could define that method in the <code>Point</code> itself this way:</p>

<pre><code>adaptToPoint: rcvr andSend: selector

   ^ (x perform: selector with: arg x) @ (y perform: selector with: arg y)
</code></pre>

<p>You can see more examples in this presentation: <a href=""http://www.slideshare.net/SmalltalkWorld/stoop-302double-dispatch"" rel=""noreferrer"">http://www.slideshare.net/SmalltalkWorld/stoop-302double-dispatch</a></p>
"
"How can I make an HTTPS request in Squeak or Pharo?","<web-services><smalltalk><squeak><pharo>","<p>How can I make an HTTPS request from Squeak or Pharo? <code>HTTPClient</code> and friends seem to lack any facilities for SSL.</p>
","1802","2010-12-16 13:35:12","0","6","Question","","<p><a href=""http://zdc.stfx.eu/"" rel=""nofollow"">Zodiac</a> as mentioned above will enable you to make HTTPS requests from Zinc.</p>

<p>Enable it like this (recipe from the <a href=""http://forum.world.st/Zinc-HTTPS-tt3755796.html"" rel=""nofollow"">Pharo forum</a>):</p>

<p>First download the <a href=""http://code.google.com/p/squeakssl/"" rel=""nofollow"">SqueakSSL</a> plugin and put it in your Pharo directory, and then load the necessary packages:</p>

<pre>
""Load Zinc HTTP Components""
Gofer it 
  squeaksource: 'ZincHTTPComponents'; 
  package: 'Zinc-HTTP'; 
  package: 'Zinc-Tests'; 
  package: 'Zinc-Patch-HTTPSocket'; 
  load. 

""Load Zodiac including extras""
Gofer it 
  squeaksource: 'Zodiac'; 
  package: 'Zodiac-Core'; 
  package: 'Zodiac-Tests'; 
  load. 

""Load extra Zinc support for Zodiac""
Gofer it 
  squeaksource: 'ZincHTTPComponents'; 
  package: 'Zinc-Zodiac'; 
  load. 

""Switch to the Zn Zodiac socket factory"" 
ZnNetworkingUtils default: ZnZodiacNetworkingUtils new. 
</pre>

<p>And you should be able to make requests against HTTPS resources.</p>
"
"Is Pharo just a repackaging/rebranding of Squeak?","<smalltalk><squeak><pharo>","<p>I'm trying to learn some Smalltalk. First found was Squeak, but since it has been <a href=""http://bugs.gentoo.org/show_bug.cgi?id=247363"" rel=""noreferrer"">removed from Gentoo ebuild tree because of security problem</a>, so I decided to find an alternative.</p>

<p>Then I found <a href=""http://www.pharo-project.org"" rel=""noreferrer"">Pharo</a> through <a href=""http://www.seaside.st/"" rel=""noreferrer"">Seaside project</a>, after I downloaded Pharo 1.0 package, there are actually a SqueakVM inside!</p>

<p>So, my question is: Is Pharo just a repackaging/rebranding of Squeak?
And are those security problem of Squeak (bundle unsecure libs) still applied to Pharo?</p>

<p>Thanks!</p>
","1776","2010-05-27 15:32:56","0","3","Question","","<p>Pharo started as a fork of Squeak to target ""practical"" Smalltalk development. The two environments use the same virtual machine, same image format, and share nearly the entire low-level class libraries.  They use the same version control systems, and (last I checked) shared the same fileIn/fileOut format as well.</p>

<p>At the same time, I don't think it's fair to say that Pharo is merely a rebranding.  The two projects are taking increasingly different directions: while Squeak shows no sign of wanting to remove its educational and research packages, Pharo is narrowly focused on making a tiny, lightweight environment suitable for corporate and commercial development. Where Squeak is concerned about keeping backwards compatibility with its previous releases, Pharo has been very willing to break compatibility in the name of slimming things down, speeding things up, and just generally simplifying the library system. The two systems now have different compilers, will soon have different FFI (native code) interfaces, and have increasingly divergent windowing systems.</p>

<p>For these and other reasons, I treat Pharo in my mind as a currently-mostly-Squeak-compatible Smalltalk, and not as a mere ""rebanding"" of Squeak.  As time progresses, I would expect the situation to get closer and closer to Emacs/XEmacs, where it's possible to make programs that run under both systems, but most people target one or the other.</p>

<p>I have absolutely no idea what security problem you're mentioning, so I have no idea whether the situation's better than Pharo. It'd be helpful if you could outline what you have in mind.</p>
"
"Redefine nil in smalltalk to respond any message","<smalltalk><null><pharo><method-missing>","<p>I want to redefine smalltalk's <strong>nil</strong> to work like the one in <em>objective-c</em>. So when <strong>nil</strong> receives a message that it can't handle, it returns <em>nil</em>. Now I know that <code>nil</code> is just a shortcut for <code>UndefinedObject</code> but is there anything like <code>method_missing</code> in <em>Ruby</em> so I can redefine it in <code>UndefinedObject</code> to always return <em>nil</em>?</p>
","1764","2012-04-14 12:59:09","0","3","Question","","<p>The method you are looking for is called <code>doesNotUnderstand:</code> in Smalltalk. You can indeed implement:</p>

<pre><code>UndefinedObject&gt;&gt;doesNotUnderstand: aMessage
    ^ nil
</code></pre>

<p>However, keep in mind that this affects the complete system and might have subtle side effects or introduce bugs in other parts of the system.</p>

<p>Also note that <code>UndefinedObject</code> is not a primitive type, but a normal class inheriting from <code>Object</code>. Therefor <code>nil</code> already understands a large number of messages and might not behave as you would expect coming from Objective-C.</p>
"
"How to save a Pharo image automatically every hour?","<smalltalk><pharo><seaside><projectpier>","<p>I want to save my Pharo image every hour on the hour automatically.</p>

<p>How would you make this automatic within the image?</p>

<p>I've seen the Pier project do this.
But I'm not sure how they do it.</p>

<p>TIA</p>
","1763","2011-01-11 08:20:36","0","3","Question","","<p>There is the <a href=""http://www.squeaksource.com/Scheduler"" rel=""nofollow"">Scheduler project on SqueakSource</a> that looks like cron for Smalltalk.  From the overview:</p>

<blockquote>
<pre>""Start a new task scheduler and keep it around""
scheduler := TaskScheduler new.
scheduler start.
""Let's save the image every hour""
scheduler
   do: [Smalltalk snapshot: true andQuit: false]
   every: 60 minutes.</pre>
</blockquote>

<p>You could combine that with the blocking code or OSProcess's saveImageInBackgroundNicely mentioned above and have a nice easy solution.</p>
"
"Making an HTTP request in Pharo and getting the response headers","<http><smalltalk><squeak><pharo>","<p>how can I make an HTTP request and get both the response content and the response headers?</p>
","1726","2010-08-22 23:44:44","0","4","Question","",""
"Best way to extend Pharo Smalltalk class behavior?","<smalltalk><pharo>","<p>I want to extend the String class with a method to create a url slug out of a string. I found a link here that shows how you can move extensions to their own package:</p>

<p><a href=""http://www.jarober.com/blog/blogView?showComments=true&amp;printTitle=Smalltalk_Daily_07/13/10:_Extending_Behavior_II&amp;entry=3456465325"" rel=""noreferrer"">Smalltalk Daily 07/13/10: Extending Behavior II</a>.</p>

<p>However, I can't find any ""move to package"" option in Pharo Smalltalk.  Is it ok to just extend the core class with the new method, or is there a better way?</p>
","1719","2011-02-02 01:18:46","0","3","Question","","<p>In Pharo or Squeak put the extension methods for <em>MyPackage</em> in a method category called <code>*mypackage</code> (or if you want to be more descriptive <code>*mypackage-slug</code>).</p>

<p>The methods in these categories belong automatically to the <em>MyPackage</em> package (at least from the Monticello point of view)</p>
"
"Magma, GOODS, GLORP, or something else?","<persistence><smalltalk><squeak><seaside><pharo>","<p>So I've been using Smalltalk for about 6 months now (Squeak and Pharo), mostly doing data analytics, and I'm about to start my first Seaside app. So my question to all you Smalltalkers out there is, what is your favorite persistence solution? I've been looking at Magma, GOODS, and GLORP. I'm a long-time python hacker, so I get ORM, but it seems like Magma or GOODS would be a better solution, since they seem object-oriented.</p>

<p>A quick note: I want to scale my app across multiple VM's, so just saving data to the image wont really work.</p>

<p>Thanks!</p>
","1713","2009-07-07 04:41:08","0","3","Question","","<p>If you want to scale across multiple VMs, you might want to to take a look at <a href=""http://GemStone.Com/products/smalltalk/"" rel=""nofollow noreferrer"">GemStone/S</a>.</p>

<p>Be aware, however, that GemStone is a <a href=""http://Seaside.GemStone.Com/docs/GLASS-Announcement.htm"" rel=""nofollow noreferrer"">proprietary, commercial product</a>. So, you <em>will</em> have to pay for it. However, the pricing model is generally designed in such a way, that if you <em>need</em> a bigger edition then you will generally also have the users to <em>pay</em> for that edition. The prices start out at 0 $ for the 4 GiByte disk / 1 GiByte RAM / 1 CPU version.</p>

<p>Another thing to note is that GemStone Smalltalk is its own dialect, so your Squeak code will probably not run unmodified, but should be fairly easy to port. (For example, the GemStone engineers have created an adapter that allows you to load Monticello (Squeak's version control system) packages into GemStone/S, also they generally make sure that Seaside runs.)</p>

<p>So, what is GemStone? Basically, it's a distributed VM with automatic object persistence. It's easiest to explain compared to a normal Smalltalk VM. If you have two Smalltalk VMs running side-by-side, each of them has its own Object Memory (i.e. the thing the garbage collector manages). And that Object Memory is in RAM. In GemStone, all VMs in a cluster share the <em>same</em> Object Memory <em>and</em> it lives on disk, not in RAM. So, you don't <em>need</em> a database, not even an object-oriented one, because your objects are ""just there"", everywhere, all the time.</p>

<p>(That's only a very simplistic description. For example, the heap is not <em>really</em> shared across VMs. That wouldn't make sense, you wouldn't want to replicate every temporary object you create across the network. Instead, you have a global repository object (basically, a dictionary) and just like the garbage collector will start at some well-known root object and then keep all objects that are reachable from there, and delete those that aren't, GemStone will start at the global repository object, and persist/replicate <em>only</em> the objects that are reachable from there.)</p>

<p>GemStone also has database-ish features, so access to the global repository is wrapped in ACID transactions, and there is a SQL-inspired but Smalltalkish query language.</p>

<p>GemStone has a nice appliance that they call ""<a href=""http://Seaside.GemStone.Com/"" rel=""nofollow noreferrer"">GLASS</a>"" (for GemStone, Linux, Apache, Seaside and Smalltalk) analogous to the well-known ""LAMP"" (Linux, Apache, MySQL and PHP). GLASS includes the gratis edition of GemStone with Seaside preinstalled and everything setup with Apache running on top of Xubuntu, everything neatly packaged into a VMWare disk image.</p>
"
"How can I get all the methods in a Protocol?","<smalltalk><squeak><pharo>","<p>How can I get a collection of all the (class) methods in a given protocol in smalltalk/squeak/pharo?</p>

<p>I'm trying to collect the values returned by a group of methods. I don't want to have to store the methods in an instance or class variable. So I though I could add them to a protocol and in this way to ""mark"" them.</p>

<p>Thanks.</p>
","1707","2010-06-07 15:48:39","0","1","Question","","<p>In Pharo, the method you're looking for is <code>ClassDescription&gt;&gt;allMethodsInCategory:</code>:</p>

<pre><code>| selectors |
selectors := MyClass allMethodsInCategory: #'protocol name'.
</code></pre>

<p>To find methods in a class-side protocol, just send to the metaclass instead:</p>

<pre><code>selectors := MyClass class allMethodsInCategory: #'protocol name'.
</code></pre>

<p>Another solution you might want to consider, though, is to use a pragma to mark your methods instead.  See the comment on the <code>Pragma</code> class for details of that approach.  It has the advantages that other packages can freely add methods belonging to your group (which need to be in a * protocol), and that the pragma can be used to store other metadata as well (such as an evaluation order, for example).</p>

<p><strong>NB.</strong> The selector <code>allMethodsInCategory:</code> has been deprecated in Pharo 3.0 and later in favor of <code>allSelectorsInProtocol:</code></p>
"
"Is it possible to write shell command within Pharo smalltalk?","<linux><shell><smalltalk><pharo><pharo-5>","<p>Like in other programming language, is there a way of running linux shell command in Pharo smalltalk or a simple script ? I would like to have my Pharo image running a script that should be able to automate a tasks and return it to some value. I looked at almost all the documentation around and I couldn't find anything related. Maybe It does not allow such functionality.</p>
","1692","2018-07-16 13:35:38","6","2","Question","","<p>Pharo does allow the OS interaction.  The best way, in my eyes, is to use <code>OSProcess</code> (as <a href=""http://stackoverflow.com/users/2012262/martinw"">MartinW</a> already suggested).</p>
<p>Those that think it is a duplicate are missing this part:</p>
<blockquote>
<p>... running a script that should be able to automate a tasks and
return it to some value...</p>
</blockquote>
<p>There is nothing about return value in the <a href=""https://stackoverflow.com/questions/1416624/invoking-shell-commands-from-squeak-or-pharo"">invoking shell commands from squeak or pharo</a></p>
<p>To get a return value you would do it the following way:</p>
<pre><code>command := OSProcess waitForCommand: 'ls -la'.
command exitStatus.
</code></pre>
<p>If you print out the above code you will get most probably a <code>0</code> as success.</p>
<p>If you do an obvious error:</p>
<pre><code>command := OSProcess waitForCommand: 'ls -la /dir-does-not-exists'.
command exitStatus.
</code></pre>
<p>You will get <code>~= 0</code> value in my case <code>512</code>.</p>
<h2><strong>Edit</strong> adding more details to cover more ground</h2>
<p>I agree with eMBee that a statement</p>
<blockquote>
<p>return it to some value</p>
</blockquote>
<p>is rather vague.  I'm adding information about I/Os.</p>
<p>As you may know there are three basic IO:  <code>stdin</code>, <code>stdout</code>, and <code>stderr</code>.  These you need to interact with shell.  I'll add these examples first then I'll get back to your description.</p>
<p>Each of them is represented by instance of <code>AttachableFileStream</code> in Pharo.  For the above <code>command</code> you will get <code>initialStdIn</code> (<code>stdin</code>), <code>initialStdOut</code> (<code>stdout</code>), <code>initialStdError</code> (<code>stderr</code>).</p>
<p>To write <strong>into</strong> the terminal <strong>from</strong> Pharo:</p>
<ol>
<li><p><em>stdout</em> and <em>stderr</em> (you stream string into terminal)</p>
<pre><code>| process |

process := OSProcess thisOSProcess.
process stdOut nextPutAll: 'stdout: All your base belong to us'; nextPut: Character lf.
process stdErr nextPutAll: 'stderr: All your base belong to us'; nextPut: Character lf.
</code></pre>
</li>
</ol>
<p>Check your shell you should see the output there.</p>
<ol start=""2"">
<li><p><em>stdin</em> - to get what you typed</p>
<pre><code>| userInput handle fetchUserInput |

userInput := OSProcess thisOSProcess stdIn.
handle := userInput ioHandle.
&quot;You need this in order to use terminal -&gt; add stdion&quot;
OSProcess accessor setNonBlocking: handle.
fetchUserInput := OS2Process thisOSProcess stdIn next.
&quot;Set blocking back to the handle&quot;
OSProcess accessor setBlocking: handle.
&quot;Gets you one input character&quot;
fetchUserInput inspect.
</code></pre>
</li>
</ol>
<p>If you want to grab an output <strong>from</strong> the command <strong>into</strong> Pharo a resonable way is to use <code>PipeableOSProcess</code> which, as apparent from his name,  can be used in conjunction with pipes.</p>
<p>Simple example:</p>
<pre><code>| commandOutput |

commandOutput := (PipeableOSProcess command: 'ls -la') output.
commandOutput inspect.
</code></pre>
<p>More complex example:</p>
<pre><code>| commandOutput |

commandOutput := ((PipeableOSProcess command: 'ps -ef') | 'grep pharo') outputAndError.
commandOutput inspect.
</code></pre>
<p>I like the use of <code>outputAndError</code> because of typos.  If you have an incorrect command you will get the error message:</p>
<pre><code>| commandOutput |

commandOutput := ((PipeableOSProcess command: 'ps -ef') | 'grep pharo' | 'cot') outputAndError.
commandOutput  inspect.
</code></pre>
<p>In this case <code>'/bin/sh: cot: command not found'</code></p>
<p>That is about it.</p>
<p><strong>Update 29-3-2021</strong>  The <em>OSProcess</em> works up to Pharo 7.  It was not upgraded to work with the changes at Pharo 8 or newer.</p>
"
"Initialize Class variables in Pharo Smalltalk","<smalltalk><pharo>","<p>I'm having trouble initializing class variables in Pharo. I started by creating a class with a single class variable:</p>
<pre><code>Object subclass: #ClassVariableTestBehavior
    instanceVariableNames: ''
    classVariableNames: 'test'
    package: 'DummyPackage'
</code></pre>
<p>And then on the class side I created an <code>initialize</code> message and set the variable to nil.</p>
<pre><code>ClassVariableTestBehavior class &gt;&gt;&gt; initialize
    test := nil
</code></pre>
<p>I saved and then created an instance method:</p>
<pre><code>ClassVariableTestBehavior &gt;&gt;&gt; test
    ^ test
</code></pre>
<p>and went back again and changed the class method to be:</p>
<pre><code>ClassVariableTestBehavior class &gt;&gt;&gt; initialize
    test := 34
</code></pre>
<p>In the playground I then printed the result of the following:</p>
<pre><code>ClassVariableTestBehavior new test.
</code></pre>
<p>Which was <code>nil</code>. Why hasn't the value of the class variable updated to be 34?</p>
","1690","2021-02-04 07:34:30","2","2","Question","",""
"Tree implementations in Smalltalk","<tree><smalltalk><squeak><pharo><visualworks>","<p>I'm trying to find open-source implementations of Trees (not binary) like Red-black, B-Trees, 2-3 Trees, or General Tree, ideally for Squeak/Pharo, but any other implementations in other Smalltalk flavor will be fine too. I've seen SqueakSource but there are too many binary trees packages and most of them seems to belong to students projects.
Do you know tree implementations?</p>
","1656","2011-08-02 19:14:08","1","2","Question","","<p>In <a href=""http://www.squeaksource.com/BTree.html"" rel=""nofollow"">http://www.squeaksource.com/BTree.html</a> you find a <a href=""http://en.wikipedia.org/wiki/B-tree"" rel=""nofollow"">B-Tree</a> implementation that is extensively used in many commercial applications.</p>
"
"Smalltalk web app deployment on headless Linux server","<smalltalk><seaside><pharo>","<p>We wrote a small prototype web app using Pharo and Seaside and we want to now demonstrate to the suits that the app can be deployed into our standard Linux build. We use a mix of CentOS, Ubuntu Server and Gentoo which are run headless since most of our apps are JAVA/Apache based. Only port 80 and 443 are open to the outside world.</p>

<p>What are your experiences when hosting Seaside/Smalltalk server side apps? </p>
","1635","2010-01-06 23:26:37","0","4","Question","",""
"How to print Smalltalk code from Pharo/Squeak?","<printing><syntax-highlighting><smalltalk><squeak><pharo>","<p>What is the best way to print - syntax colored and well formatted - code from Pharo/Squeak on paper?</p>

<p>1) Is there a way to print directly from within Pharo/Squeak? (i use it on macosx)<br>
2) Is there a way to export syntax colored, well formatted code from Pharo/Squak? <br>
3) Are there external tools to color and format a filed out piece of code?</p>
","1628","2010-07-07 21:16:31","0","5","Question","","<p>For the appendix in my <a href=""http://scg.unibe.ch/archive/masters/Reng06a.pdf"" rel=""nofollow noreferrer"">master thesis</a> I used the <a href=""http://www.piercms.com"" rel=""nofollow noreferrer"">Pier CMS</a>-to-LaTeX converter in the <code>Pier-Documentation</code> package. However, this plugin only takes class comments and method comments into consideration, it does not print the source code. Pier also provides a package <code>ShoutPier</code> for syntax highlighting of Smalltalk code, so I guess it would require little work to bring the two together. You can find the mentioned extension packages in <a href=""http://source.lukas-renggli.ch/pieraddons.html"" rel=""nofollow noreferrer"">http://source.lukas-renggli.ch/pieraddons.html</a>.</p>
"
"can you deploy applications written in smalltalk/squeak/pharo like a Java app?","<java><virtual-machine><smalltalk><pharo><squeak>","<p>Recently I've been exploring the world of smalltalk dialects and am very impressed (from here on in understand that when I write 'smalltalk' I'm referencing any of the modern smalltalk dialects - squeak/pharo/etc). I like the small footprint of the VM and the language itself. </p>

<p>As grad student and often need to write tools that support my research. Typically I use Java because I can easily deploy a tool to my colleagues without worrying too much about what their computer setup is or how tech savvy they are. It's pretty easy to whip up a GUI interface and all the end user has to do is double click on an executable JAR and they are gtg. The problem is that Java has all sorts of security issues and doesn't always run in the same way on every platform. Smalltalk, therefore, is starting to look pretty attractive.  </p>

<p>I know that it's possible to create a smalltalk program that fires up with one double click of an icon. What I'm wondering about is whether or not I can create a sandboxed smalltalk world such that the only thing the user sees and is able to interact with is my application. I don't want them to see any aspect of the smalltalk world. This way, users  can't accidentally muck things up or get confused because they have access to a plethora of options that aren't directly relevant to use of the program. Is this possible, and if so, how do I do it?</p>
","1620","2013-10-13 20:53:03","0","2","Question","","<p>Apologies - I should've done a better job of RTFM prior to posting this question. It is apparently possible to do this via Lockdown:</p>

<p><a href=""http://map.squeak.org/sm/packagebyname/lockdown"" rel=""noreferrer"">http://map.squeak.org/sm/packagebyname/lockdown</a></p>

<p>Also helpful: </p>

<p><a href=""http://wiki.squeak.org/squeak/3563"" rel=""noreferrer"">http://wiki.squeak.org/squeak/3563</a></p>
"
"issue with a for loop in smalltalk","<smalltalk><pharo>","<p>I have a method to calculate the exponent, but it doesnt like the c := c * a. If i do something like c := a. it works and im unsure why its behaving this way when i try and do c := c *a.. Im new to Smalltalk, so maybe its just something im missing. Im using Pharo as my implementaton.</p>

<pre><code>testPow: i1 exp: i2
    ""Testing exponent. i1 and i2 are integers, we calculate and then return the value as a Church numeral""
    | a b c |

    a := i1.
    b := i2.

        1 to: b do: [ :i |
      c:= c*a.
    ].
^c.
</code></pre>
","1616","2012-03-22 03:30:54","5","2","Question","","<p>You need to initialise <code>c</code> before using it. With your statement:</p>

<pre><code>c := a
</code></pre>

<p>it works because <code>a</code> has a value. With:</p>

<pre><code>c := c * a
</code></pre>

<p>it won't work because the first time through the loop, <code>c</code> will not be initialised to anything useful.</p>

<p>Just change your initialisation section to:</p>

<pre><code>a := i1.
b := i2.
c := 1.
</code></pre>
"
"FFI error module not found","<linux><smalltalk><ffi><pharo>","<p>I'm using Ubuntu 64bit and Pharo 1.2.1</p>

<p>I've written some FFI code that accesses crypt(3) from glibc.  I'd like to change it to access crypt from libxcrypt that I install using apt-get.  When I change the method from: </p>

<pre><code>ffiCrypt: aKey with: aSalt
&lt;cdecl: char* 'crypt' (char* char*) module: 'crypt'&gt;
^self externalCallFailed
</code></pre>

<p>to: </p>

<pre><code>ffiCrypt: aKey with: aSalt
&lt;cdecl: char* 'crypt' (char* char*) module: '/lib/libxcrypt.so.1'&gt;
^self externalCallFailed
</code></pre>

<p>I get External Module Not Found errors.  I've linked to the libxcrypt.so.1 file from the directory my image is in.</p>

<p>I suspect it could be a 64 bit vs 32 bit library thing or that I need to link the library somewhere else but do not know.  </p>

<p>What are some steps or things I could check to try to track down why the external module cannot be found?  </p>
","1601","2011-05-01 13:53:02","1","1","Question","","<p>It was both a 64bit vs 32bit library issue and a linking issue.</p>

<p>Reading this:</p>

<p><a href=""http://forum.world.st/FFI-library-dependency-howto-td50461.html#a50462"" rel=""nofollow"">http://forum.world.st/FFI-library-dependency-howto-td50461.html#a50462</a></p>

<p>helped me learn about where Pharo looks for libraries so I just had to install the 32 bit libxcrypt and link to it properly. </p>
"
